vote_2020,race_ethnicity,education,age,age_grouped
Joe Biden,"Black, or African American",College Degree or In Progress,20,18-29
Joe Biden,White,College Degree or In Progress,34,30-39
Joe Biden,Some other race,College Degree or In Progress,26,18-29
I am not sure/don't know,White,High School or Less,28,18-29
Joe Biden,White,College Degree or In Progress,62,60+
Donald Trump,White,Trade Certificate,45,40-49
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,39,30-39
I am not sure/don't know,White,College Degree or In Progress,25,18-29
Donald Trump,White,Trade Certificate,39,30-39
Joe Biden,White,College Degree or In Progress,29,18-29
Joe Biden,"Black, or African American",Associate Degree or In Progress,68,60+
Joe Biden,White,College Degree or In Progress,46,40-49
Donald Trump,White,High School or Less,60,60+
